Iteration,BlockID,gen[B],kill[B],in[B],out[B]
3,37,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,38,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,39,{},{},{},{}
3,40,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,41,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,42,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,43,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,44,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,45,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,46,{},{},{},{}
3,47,{},{},{},{}
3,48,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,49,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,50,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,51,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,52,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,53,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,54,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,55,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,56,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,57,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,58,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,59,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,60,{},{},{},{}
3,61,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,62,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,63,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,64,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,65,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,66,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,67,{},{},{},{}
3,68,{},{},{},{}
3,69,{D6},{D7},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D8}"
3,70,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,71,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,72,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,73,{D7},{D6},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D7, D8}"
